caption,altcaption,label,filename,loc
Summary of the recreational length samples by source for the CPFV and PR fleets.,NA,rec-len-samps,rec_south_sample_size_by_program.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/rec_bds/forSS
"Summary of the number of positive tows, lengths, and read ages by year and area collected by the NWFSC WCGBT survey.",NA,wcgbt-samps,wcgbt_positive_tows_and_bio_samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/wcgbt/forSS
Summary of the number of trips and length samples for fish landed dead by commercial fisheries.,NA,dead-com-len,south_dead_trips_and_samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/pacfin_bds/forSS
Summary of the number of trips and length samples for fish landed live by commercial fisheries.,NA,live-com-len,south_live_trips_and_samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/pacfin_bds/forSS
"Summary of the number of observations by year, area, and unique drops across all sites where copper rockfish were caught by the NWFSC HKL survey.",NA,nwfsc-hkl-obs,nwfsc_hkl_sample_number_by_site_cca.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/nwfsc_hkl/forSS
Positive samples of copper rockfish in the NWFSC Hook and Line survey by depth bin (m) where the value in the depth column is the lower depth bound.,NA,nwfsc-hkl-pos-depth,nwfsc_hkl_positive_samples_by_depth.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/nwfsc_hkl/forSS
Positive samples of copper rockfish in the NWFSC Hook and Line survey by year where the number of samples is equal to the total number of sets across all sites sampled that year.,NA,nwfsc-hkl-pos-year,nwfsc_hkl_positive_samples_by_year.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/nwfsc_hkl/forSS
Number of records filtered during data processing for the ROV survey data and the total remaining records.,NA,rov-filtered,rov_removed_records_south.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/rov/forSS
Model selection for the ROV survey.,NA,rov-model-selection,rov_south_model_selection.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/rov/forSS
Number of transects and number of observations of copper rockfish for each group and survey year.,NA,rov-obs,south_obs_designation_mpa_group_year.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/rov/forSS
Model selection for the NWFSC Hook and Line survey.,NA,nwfsc-hkl-model-select,nwfsc_hkl_model_selection.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/nwfsc_hkl/forSS
Number of length and age samples collected by year and the calculated effective sample size based on the number of positive drops by site.,NA,nwfsc-hkl-samples,nwfsc_hkl_effn_lengths_ages.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/nwfsc_hkl/forSS
Age data by year and source used in the growth fleet.,NA,growth-age-samps,south_growth_age_samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/ages/forSS
The total number of tow and tows that observed copper rockfish south of Point Conception by the NWFSC WCGBT survey.,NA,wcgbt-pos-tows,wcgbt_samples_by_year.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/wcgbt/south/forSS
The estimated index by year and the log-standard errorr.,NA,nwfsc-hkl-index-tab,nwfsc_hkl_formatted_index.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/nwfsc_hkl/glm_delta_lognormal_year_area_depth_drop_vermilion_bocaccio_open_areas_re_site_area_weighted
"The total number of drifts, length, and age samples collected by year from the CCFRP survey south of Point Conception.",NA,ccfrp-samps,south_ccfrp_drifts_length_ages.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/ccfrp/south/forSS
Specifications and structure of the base model,NA,model-structure,model_structure_south.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/models
