Year,OFL,ACL
2011,155.96,130.15
2012,155.96,130.15
2013,141.5,118.01
2014,141.5,118.01
2015,301.11,274.91
2016,284.34,259.6
2017,310.86,283.83
2018,316.71,289.16
2019,322.09,294.07
2020,327.26,298.79
2021,247.43,204.38
2022,246.98,202.03
2023,23,9.93
2024,26.4,12.67
