Year,Complex OFL,Complex ACL,OFL,ACL
2011,,,155.96,130.15
2012,,,155.96,130.15
2013,,,141.5,118.01
2014,,,141.5,118.01
2015,,,301.11,274.91
2016,,,284.34,259.6
2017,1329.254551,1163,310.86,283.83
2018,1344.474651,1179,316.71,289.16
2019,1299.6488,1142,322.09,294.07
2020,1322,1163,327.26,298.79
2021,1231.537173,1016,247.43,204.38
2022,1233.179414,1010,246.98,202.03
2023,1089,886,108.44,84.61
2024,1097,891,113.18,87.73
