"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2013,170.3,94.0276095488269,246.572390451173,0.358145,0.236981594446922,0.479308405553078
2014,181.668,100.893964269135,262.442035730865,0.382054,0.254229460849064,0.509878539150936
2015,194.73,108.268540778797,281.191459221203,0.409523,0.272965645319547,0.546080354680453
2016,205.666,113.138060253849,298.193939746151,0.432521,0.286164413386042,0.578877586613958
2017,215.637,117.046695653268,314.227304346732,0.45349,0.297145240924428,0.609834759075572
2018,217.87,113.228894840196,322.511105159804,0.458188,0.290584031818839,0.625791968181161
2019,223.06,112.304003204829,333.815996795171,0.469102,0.290515569627867,0.647688430372133
2020,227.806,111.017626053212,344.594373946788,0.479083,0.28958074621237,0.66858525378763
2021,231.683,109.058441296447,354.307558703553,0.487235,0.287028598907203,0.687441401092797
2022,237.184,108.723844528877,365.644155471123,0.498805,0.288159830725542,0.709450169274458
2023,246.822,112.218337419337,381.425662580663,0.519073,0.298145859662645,0.740000140337355
