"Year","Spawning Output","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2013,29.2185,21.0951548711159,37.3418451288841,0.144962,0.0997054516149779,0.190218548385022
2014,30.0475,21.4079591565076,38.6870408434924,0.149075,0.101418083723112,0.196731916276888
2015,33.4645,23.924159709213,43.004840290787,0.166028,0.113279293287675,0.218776706712325
2016,36.1309,25.514225887463,46.747574112537,0.179256,0.12106800123778,0.23744399876222
2017,37.5601,25.7443003220815,49.3758996779185,0.186347,0.122724805094244,0.249969194905756
2018,39.2258,26.0559396037222,52.3956603962778,0.194611,0.124753767666625,0.264468232333375
2019,37.9216,23.4597117454735,52.3834882545265,0.188141,0.113235880424442,0.263046119575558
2020,35.6877,20.05990756963,51.31549243037,0.177058,0.097665738878236,0.256450261121764
2021,32.4466,15.8665394681014,49.0266605318986,0.160977,0.0780223083399361,0.243931691660064
2022,30.2393,12.9056725153254,47.5729274846746,0.150027,0.0640067286717169,0.236047271328283
2023,29.7601,11.8741154652024,47.6460845347976,0.147649,0.0591644659539547,0.236133534046045
