Year,Total Biomass (mt),Spawning Output,Total Biomass 3+ (mt),Fraction Unfished,Age-0 Recruits,Total Mortality (mt),1-SPR,Exploitation Rate
1916,2011.02,201.659,1993.32,1.000491169,241.073,0.120455,0.000807984,6.04E-05
1917,2011.03,201.657,1993.33,1.000481246,241.113,0.194504,0.00130418,9.76E-05
1918,2010.98,201.648,1993.27,1.000436595,241.157,0.177138,0.00118789,8.89E-05
1919,2010.97,201.642,1993.26,1.000406827,241.204,0.105856,0.000710145,5.31E-05
1920,2011.05,201.646,1993.34,1.000426672,241.258,0.115231,0.000772976,5.78E-05
1921,2011.15,201.651,1993.43,1.000451478,241.315,0.100636,0.000675098,5.05E-05
1922,2011.28,201.66,1993.56,1.00049613,241.379,0.0987906,0.000662685,4.96E-05
1923,2011.43,201.671,1993.71,1.000550705,241.448,0.132438,0.000888171,6.64E-05
1924,2011.58,201.681,1993.85,1.000600318,241.523,0.17762,0.00119081,8.91E-05
1925,2011.7,201.688,1993.97,1.000635047,241.605,0.195127,0.00130799,9.79E-05
1926,2011.84,201.696,1994.1,1.000674737,241.694,0.241825,0.00162053,0.00012127
1927,2011.96,201.702,1994.22,1.000704505,241.791,0.200656,0.00134487,0.000100619
1928,2012.16,201.715,1994.41,1.000769002,241.897,0.200848,0.00140064,0.000100705
1929,2012.39,201.731,1994.63,1.000848383,242.013,0.22316,0.00158704,0.00011188
1930,2012.63,201.748,1994.86,1.000932725,242.14,0.256376,0.00186361,0.000128518
1931,2012.87,201.766,1995.09,1.001022028,242.277,0.252727,0.00187614,0.000126674
1932,2013.16,201.787,1995.37,1.001126216,242.426,0.335243,0.00248193,0.00016801
1933,2013.4,201.803,1995.61,1.001205596,242.588,0.2062177,0.00167339,0.000103336
1934,2013.82,201.836,1996.01,1.001369319,242.767,0.302459,0.00235351,0.000151532
1935,2014.19,201.864,1996.37,1.001508236,242.959,0.595573,0.00436263,0.000298328
1936,2014.33,201.866,1996.5,1.001518158,243.165,0.437375,0.00330772,0.000219071
1937,2014.7,201.889,1996.85,1.001632268,243.39,1.185751,0.00839268,0.000593811
1938,2014.42,201.841,1996.55,1.001394126,243.627,0.707067,0.0052321,0.000354144
1939,2014.7,201.852,1996.82,1.0014487,243.89,0.490576,0.00373399,0.000245679
