Year,Total Biomass (mt),Spawning Output,Total Biomass 3+ (mt),Fraction Unfished,Age-0 Recruits,Total Mortality (mt),1-SPR,Exploitation Rate
1940,2015.29,201.893,1997.4,1.001652114,244.179,0.533037,0.00388883,0.000266865
1941,2015.95,201.938,1998.03,1.001875372,244.491,0.590569,0.00423482,0.000295576
1942,2016.65,201.987,1998.71,1.002118476,244.825,0.1380318,0.00108697,6.91E-05
1943,2017.91,202.093,1999.95,1.002644374,245.19,0.198812,0.00149219,9.94E-05
1944,2019.21,202.202,2001.22,1.003185156,245.577,0.0820102,0.000657245,4.10E-05
1945,2020.72,202.334,2002.7,1.003840048,245.99,0.1623026,0.00124636,8.10E-05
1946,2022.26,202.467,2004.21,1.004499901,246.423,0.1988714,0.00159764,9.92E-05
1947,2023.86,202.607,2005.78,1.005194483,246.87,0.742299,0.00619686,0.00037008
1948,2025,202.704,2006.89,1.005675729,247.314,1.7825156,0.0148244,0.000888198
1949,2025.16,202.709,2007.02,1.005700536,247.737,2.323111,0.0191249,0.001157493
1950,2024.89,202.665,2006.72,1.005482239,248.132,3.154261,0.0257708,0.001571849
1951,2023.92,202.546,2005.71,1.004891844,248.488,5.83686,0.041633,0.002910122
1952,2020.63,202.149,2002.4,1.002922207,248.764,4.47219,0.0344201,0.002233415
1953,2018.95,201.929,2000.7,1.00183072,248.982,4.126203,0.0334165,0.00206238
1954,2017.83,201.776,1999.56,1.001071641,249.069,8.556832,0.0691232,0.004279357
1955,2012.28,201.222,1993.99,0.99832308,248.917,16.7226542,0.131077,0.008386529
1956,1998.34,199.885,1980.05,0.991689819,248.567,18.307667,0.143238,0.009246063
1957,1982.95,198.36,1964.68,0.984123834,248.113,10.817061,0.0877427,0.005505762
1958,1975.84,197.535,1957.59,0.98003076,247.868,10.862585,0.087509,0.005548958
1959,1969.31,196.756,1951.09,0.976165906,247.937,5.909911,0.0486761,0.00302903
1960,1968.51,196.525,1950.3,0.975019845,248.829,6.770894,0.0551672,0.003471719
1961,1967.36,196.301,1949.14,0.973908514,250.347,9.63066,0.0750505,0.004940979
1962,1963.84,195.862,1945.54,0.971730502,252.525,6.54855,0.0523757,0.003365929
1963,1963.99,195.781,1945.56,0.971328637,256.273,6.98382,0.0561929,0.003589619
1964,1964.3,195.711,1945.68,0.970981346,263.561,11.763065,0.0946483,0.006045735
1965,1960.39,195.231,1941.43,0.968599921,279.106,17.34988,0.135932,0.00893665
1966,1951.96,194.232,1932.32,0.96364358,307.619,43.74267,0.308402,0.022637384
1967,1918.28,190.733,1897.27,0.946283985,347.931,50.6172,0.350318,0.026678965
1968,1881.81,186.516,1858.54,0.925362175,373.421,59.24242,0.402833,0.031875784
1969,1843.52,181.572,1817.64,0.900833499,317.927,46.966294,0.343376,0.025839162
1970,1827.08,178.091,1800.62,0.883563207,263.045,69.547437,0.459166,0.038624161
1971,1794.9,173.227,1772.48,0.859431435,228.766,66.828989,0.446035,0.037703663
1972,1768.24,169.521,1749.42,0.84104485,269.084,92.189625,0.551688,0.052697251
1973,1713.14,164.475,1695.67,0.816010121,293.433,111.467459,0.626524,0.065736528
1974,1633.52,157.923,1613.45,0.783503671,236.458,138.128633,0.71932,0.08561073
1975,1522.84,148.312,1502.26,0.735820599,206.447,142.10046,0.755713,0.094591123
1976,1406.43,137.353,1389.56,0.681449692,202.962,116.87728,0.719115,0.084110999
1977,1315.08,128.283,1299.95,0.636450685,227.931,108.99147,0.716594,0.083842817
1978,1230.65,120.043,1215.38,0.595569557,201.286,107.9735,0.733846,0.088839293
1979,1146.46,111.922,1130.21,0.555278825,160.147,151.66924,0.854462,0.134195627
1980,1016.54,99.5378,1002.45,0.493837071,139.604,147.88,0.87866,0.147518579
1981,889.274,87.1011,877.839,0.432134848,147.141,85.59453,0.760267,0.097505955
1982,825.1,80.3007,814.751,0.398396011,134.74,156.68055,0.924478,0.192304827
1983,686.222,67.3345,675.65,0.334066779,121.607,82.03823,0.823465,0.121421194
1984,622.316,60.7485,612.606,0.301391645,145.735,91.4002,0.875433,0.149198996
1985,549.667,53.3891,540.272,0.26487944,209.74,115.71215,0.940961,0.214173879
1986,453.985,43.8197,442.3,0.217402758,186.961,101.22229,0.948231,0.228854375
1987,377.91,35.4251,362.935,0.175754614,159.75,78.31543,0.937445,0.215783625
1988,333.073,29.3788,319.797,0.145757095,160.84,52.21706,0.872118,0.163281894
1989,322.046,26.3149,310.322,0.130556162,152.187,53.41572,0.867937,0.172129981
1990,314.568,24.3553,302.873,0.120833995,181.004,60.04491,0.88795,0.198251115
1991,302.255,22.7606,290.612,0.112922207,194.975,52.56981,0.855624,0.180893459
1992,299.232,21.8649,285.805,0.108478369,137.633,33.83085,0.727575,0.118370392
1993,318.055,22.7237,304.725,0.112739135,91.4341,19.97913,0.524336,0.06556446
1994,353.821,25.0872,344.459,0.124465172,89.1138,62.4744996,0.845321,0.181369915
1995,344.693,24.9785,338.002,0.123925878,103.35,51.23187,0.785714,0.151572683
1996,341.635,25.3172,334.895,0.125606271,80.2624,97.05768,0.929293,0.289815256
1997,284.965,21.8819,277.779,0.108562711,64.5677,42.80432,0.776695,0.154094874
1998,277.503,21.5839,271.84,0.107084243,79.9312,54.84109,0.861507,0.201740325
1999,254.073,20.0409,248.958,0.099428954,177.07,49.755295,0.886441,0.199854172
2000,231.045,18.6634,223.745,0.092594761,90.4502,27.49987,0.752547,0.122907193
2001,231.013,18.5649,219.439,0.092106073,61.2736,20.49999,0.66624,0.093419994
2002,241.539,18.8582,235.308,0.093561222,103.411,14.40356,0.525173,0.061211519
2003,260.446,19.8668,255.178,0.098565192,173.568,17.501904,0.540023,0.068587041
2004,277.106,21.3046,268.514,0.105698551,79.687,16.76489,0.516456,0.062435813
2005,296.113,23.0283,284.825,0.114250347,116.826,29.839887,0.699416,0.104765688
2006,303.226,23.7085,296.882,0.117625025,43.564,13.691152,0.4268,0.046116477
2007,326.301,25.6349,318.736,0.127182477,163.915,32.282142,0.690851,0.101281757
2008,328.981,26.3651,323.863,0.130805219,158.351,26.867994,0.627729,0.082960987
2009,336.126,27.4287,323.823,0.13608206,427.96,24.856215,0.602116,0.076758646
2010,351.602,28.3987,335.619,0.140894523,458.043,23.378706,0.576711,0.06965847
2011,384.634,29.3043,353.078,0.145387478,204.199,44.786307,0.770599,0.126845363
2012,418.943,28.838,389.313,0.143074023,274.813,51.04008,0.768569,0.131102943
2013,465.228,29.2185,448.883,0.144961798,449.535,79.53882,0.840569,0.177192765
2014,490.599,30.0475,468.089,0.149074717,119.289,61.7093,0.73705,0.131832408
2015,534.564,33.4645,506.967,0.166027486,49.538,82.17765,0.798201,0.162096645
2016,554.72,36.1309,546.993,0.179256301,120.694,98.95124,0.837925,0.180900377
2017,541.435,37.5601,536.74,0.186346993,63.0953,86.86287,0.809259,0.161834166
2018,517.92,39.2258,510.013,0.194611034,46.7199,101.3081,0.872427,0.19863827
2019,459.119,37.9216,454.749,0.188140504,52.2102,80.70155,0.86056,0.177463942
2020,405.47,35.6877,401.914,0.177057452,83.6954,70.26142,0.869693,0.17481705
2021,352.528,32.4466,348.093,0.160977376,159.874,45.16464,0.804598,0.129748774
2022,321.9,30.2393,314.546,0.150026295,155.352,19.5195,0.577592,0.062056106
2023,320.717,29.7601,309.056,0.147648839,154.319,26.799999,0.696495,0.086715673
2024,319.127,28.37,307.748,0.140752133,151.211,27.699999,0.70414,0.090008705
2025,324.527,27.1989,313.256,0.134941953,148.456,44.53,0.828813,0.142152106
2026,319.071,25.4515,308.03,0.126272574,144.091,44.34,0.819124,0.143947018
2027,317.052,24.4643,306.236,0.121374777,141.479,44.19,0.809604,0.144300474
2028,316.863,24.0098,306.337,0.119119865,140.239,43.97,0.801368,0.143534735
2029,317.581,23.8819,307.223,0.118485315,139.886,43.7,0.794791,0.142241955
2030,318.703,23.9355,308.421,0.11875124,140.034,43.44,0.790019,0.14084644
2031,319.983,24.0724,309.719,0.119430443,140.412,43.21,0.786654,0.139513559
2032,321.349,24.2353,311.069,0.120238639,140.858,42.92,0.783487,0.137975819
2033,322.916,24.4074,312.608,0.121092479,141.325,42.71,0.780941,0.136624782
2034,324.686,24.5823,314.344,0.12196021,141.797,42.51,0.77829,0.135234011
